\1119556.bmp  1  0 0 191 166
\1119557.bmp  1  0 0 279 130
\12195510.bmp  1  0 0 151 103
\12195511.bmp  1  0 0 159 90
\13195515.bmp  1  0 0 91 153
\13195517.bmp  1  0 0 152 125
\14195521.bmp  1  0 0 96 91
\14195523.bmp  1  0 0 139 78
\15195526.bmp  1  0 0 21 33
\15195528.bmp  1  0 0 29 26
\16195530.bmp  1  0 0 80 76
\16195531.bmp  1  0 0 81 59
\16195532.bmp  1  0 0 81 59
\17195534.bmp  1  0 0 43 44
\17195537.bmp  1  0 0 46 45
\18195539.bmp  1  0 0 72 83
\18195541.bmp  1  0 0 61 46
\19195543.bmp  1  0 0 90 71
\19195544.bmp  1  0 0 110 61
\2195547.bmp  1  0 0 51 55
\2195548.bmp  1  0 0 89 64
\20195551.bmp  1  0 0 37 28
\20195552.bmp  1  0 0 41 39
\21195554.bmp  1  0 0 131 114
\21195556.bmp  1  0 0 137 83
\22195558.bmp  1  0 0 66 45
\2219560.bmp  1  0 0 45 42
\2319562.bmp  1  0 0 31 25
\2419564.bmp  1  0 0 87 64
\2419565.bmp  1  0 0 117 65
\2519567.bmp  1  0 0 41 46
\2519569.bmp  1  0 0 41 53
\26195611.bmp  1  0 0 83 78
\26195613.bmp  1  0 0 99 63
\27195615.bmp  1  0 0 84 70
\27195616.bmp  1  0 0 76 48
\28195619.bmp  1  0 0 65 53
\28195620.bmp  1  0 0 64 48
